chapter_first_level;chapter_second_level;chapter_third_level;text
1. Экономические явления и процессы общественной жизни. Деньги. Инфляция;1.1. Экономика;1.1.1. БЛАГА. РЕСУРСЫ. ПОТРЕБНОСТИ;"Все мы испытываем различные потребности — в еде, питье, крыше над головой, информации об окружающем нас мире, медицинском обеспечении и т. д. Потребности бывают различной степени важ ности: удовлетворение одних необходимо для поддержания жизне деятельности человека, другие возникают по мере развития циви лизации и обеспечивают полноту нашего существования. Благами называется всё то, что может удовлетворять потребности людей, приносить им пользу. Экономическая деятельность связана с про цессами производства, распределения и обмена, а также потребления. В этой деятельности участвуют три основных типа субъектов. Вопервых, это отдельные потребители или домашние хозяйства (так экономисты называют несколько проживающих вместе человек, которые ведут общее хозяйство), стремящиеся увеличить свое благосостояние и обеспечить достойный уровень потребления товаров и услуг. Вовторых, это бизнес — организации и индивидуальные пред приниматели, которые производят эти товары и услуги (экономи ческие блага). Целью деятельности бизнеса является максимизация извлекаемой прибыли, которая образуется при превышении выручки от произведенной продукции над издержками в виде затрачен ных в производственном процессе ресурсов (ресурсами называются блага, которые используются для производства других благ, в том числе труд). Для повышения эффективности своей деятельности и, следовательно, увеличения прибыли фирмы осуществляют ин вестиции (вложение средств в развитие собственного производства, повышение квалификации сотрудников компании) и применяют инновации (использование новых средств и методов производства, внедрение научных достижений). Втретьих, это государство, основной целью которого должно яв ляться повышение благосостояния граждан. Государство не только само производит, распределяет и потребляет различные блага, но и регулирует экономическую деятельность в интересах общества — устанавливает правила и требует их соблюдения. 20 ФИНАНСОВАЯ ГРАМОТНОСТЬ Потребители, желая купить тот или иной товар или услугу, фор мируют спрос на блага, а производители, выпуская соответствующие товары или предлагая услуги, создают предложение соответствую щих благ. При свободной конкуренции и рыночном ценообразовании (когда на рынке много независимых продавцов и покупателей, никто из них не оказывает влияния на цены, государственное вмешатель ство отсутствует) фирмы для максимизации прибыли стремятся про извести максимальное количество благ по минимальным ценам. Соотношение спроса и предложения определяет рыночную цену различных благ: чем больше спрос, тем выше цена; увеличение пред ложения товаров и услуг, напротив, толкает цены на рынке вниз (рис. 1.1). Благодаря такому поведению цен производители и потре бители, в свою очередь, получают информационные сигналы, как кор ректировать предложение различных благ и спрос на них; происхо дит «динамическая настройка» планов производства и потребления. РИСУНОК 1.1 Взаимодействие спроса, предложения и цены Блага можно классифицировать разными способами. Один из них — разделение на экономические и неэкономические (природ ные) блага. Экономические блага — это всё, что производится с целью удов летворения потребностей людей: продукты, одежда, мебель, бензин, телевидение, услуги транспорта, связи, здравоохранения и обра зования и т. д. Такие блага также называют редкими, поскольку они существуют в ограниченном объеме. Производство и доставка экономического блага до потребителя неизбежно требуют прило жения труда и затрат различных ресурсов (рис. 1.2). Это означает, что в условиях рыночной экономики экономические блага не могут ГЛАВА 1. ЭКОНОМИЧЕСКИЕ ЯВЛЕНИЯ И ПРОЦЕССЫ ОБЩЕСТВЕННОЙ ЖИЗНИ. ДЕНьГИ. ИНФЛЯЦИЯ"
1. Экономические явления и процессы общественной жизни. Деньги. Инфляция;1.1. ЭКОНОМИКА И ЭКОНОМИЧЕСКИЕ ЯВЛЕНИЯ В ЖИЗНИ ЧЕЛОВЕКА;1.1.2. ПОТРЕБЛЕНИЕ И СБЕРЕЖЕНИЕ.;Чтобы добиться для личного домашнего хозяйства достойного уровня потребления, мало получать высокий доход, достигнув определенной ступени карьеры, ведь хорошие времена могут бы стро закончиться. Важно уметь правильно распределять доходы во времени: распоряжаться текущими поступлениями так, чтобы ГЛАВА 1. ЭКОНОМИЧЕСКИЕ ЯВЛЕНИЯ И ПРОЦЕССЫ ОБЩЕСТВЕННОЙ ЖИЗНИ. ДЕНьГИ. ИНФЛЯЦИЯ
1. Экономические явления и процессы общественной жизни. Деньги. Инфляция;1.1. ЭКОНОМИКА И ЭКОНОМИЧЕСКИЕ ЯВЛЕНИЯ В ЖИЗНИ ЧЕЛОВЕКА;1.1.3. ОСНОВЫ ЭКОНОМИЧЕСКОГО;Каждый человек, действующий в условиях рыночной экономики, должен понимать, что именно он несет полную ответственность за любые принимаемые экономические решения, а в конечном счете — за свое благосостояние и удовлетворение текущих и долгосрочных потребностей. Экономическая теория обычно предполагает, что человек четко ориентирован на повышение (максимизацию) своего благосостояния и долгосрочного уровня потребления и действует рационально, чтобы добиваться этой цели. Между тем многие решения человеку приходится принимать в условиях неопределенности, когда будущий результат заранее неизвестен и подвержен множеству факторов риска (связанных с ценами, валютными курсами, инфляцией и т. д.). Такими ри скованными решениями неизбежно являются выбор профессии и учебного заведения для получения образования, заключение тру дового контракта на тот или иной срок, покупка медицинской стра ховки или отказ от этой покупки, размещение средств в различных финансовых организациях или ценных бумагах. Иными словами, принимая решения или не принимая их, мы подвергаем себя рискам — опасности получить худший финансо вый результат, чем ожидается. Однако риски в экономике возникают не только от того, что бу дущее непредсказуемо и, стало быть, всякий прогноз может ока заться ошибочным. Очень часто, даже имея дело с относительно простыми ситуациями выбора, человек принимает неоптимальные решения. Это может происходить по разным причинам, например изза сложности решаемых задач (другими словами, высоких из держек сбора и обработки соответствующей информации), когни тивных ошибок (допустим, выбора под влиянием эмоциональных факторов) или недостатка времени для принятия взвешенного ре шения. Таким образом, в реальной жизни все мы действуем ограниченно рационально. 26 ФИНАНСОВАЯ ГРАМОТНОСТЬ Так, нужно иметь в виду, что разные люди неизбежно обладают и оперируют различными информационными данными (этот эф фект называется асимметрией информации). Например, продавец подержанного автомобиля или квартиры гораздо больше знает о скрытых недостатках своей собственности, чем потенциальный покупатель, который часто не способен оценить их до момента по купки. Специалист, оказывающий потребителю услугу по ремонту автомобиля или размещению средств на финансовом рынке, гораздо лучше клиента осведомлен о вероятном результате данной операции. Это необходимо помнить, поскольку в определенных условиях такой агент может действовать в первую очередь в своих интересах, а не в интересах заказчика. Итак, любой человек в реальных экономических условиях дол жен стараться принимать решения осознанно, с опорой на пони мание всех аспектов текущей ситуации, оценку будущего и воз можных рисков того или иного варианта поведения. Умение делать правильный для себя финансовоэкономический выбор — одно из наиболее важных для современного человека, вне зависимости от рода его занятий, места проживания и возраста.
1. Экономические явления и процессы общественной жизни. Деньги. Инфляция;1.2. Деньги;1.2.1. ФУНКЦИИ ДЕНЕГ;Деньги служат нам различными способами. Обычно выделяют не сколько их основных функций (рис. 1.5): ГЛАВА 1. ЭКОНОМИЧЕСКИЕ ЯВЛЕНИЯ И ПРОЦЕССЫ ОБЩЕСТВЕННОЙ ЖИЗНИ. ДЕНьГИ. ИНФЛЯЦИЯ
1. Экономические явления и процессы общественной жизни. Деньги. Инфляция;1.2. ДЕНьГИ;1.2.2. ВИДЫ ДЕНЕГ В ИСТОРИИ И СОВРЕМЕННОСТИ;За свою долгую и увлекательную историю деньги прошли множество перевоплощений. Основные этапы их эволюции можно описать сле дующим образом. Товарные, или «случайные», деньги. Поскольку неудобства бар терного обмена как торговой системы очевидны, люди давно стали искать, что будет выполнять функции всеобщего эквивалента, или ГЛАВА 1. ЭКОНОМИЧЕСКИЕ ЯВЛЕНИЯ И ПРОЦЕССЫ ОБЩЕСТВЕННОЙ ЖИЗНИ. ДЕНьГИ. ИНФЛЯЦИЯ
1. Экономические явления и процессы общественной жизни. Деньги. Инфляция;1.2. ДЕНьГИ;1.2.3. ДЕНЬГИ КАК ВИД АКТИВА.;"Как уже разъяснялось выше, одна из функций денег предусматривает их использование в качестве средства накопления («хранилища сто имости»). Таким образом, деньги можно рассматривать как один из финансовых активов (так называют компактные по форме или доку ментарные ценности, которые способны приносить доход, — ценные бумаги, золотые слитки, банковские вклады и пр.). Хотя наличные деньги, в отличие, скажем, от депозитов или облигаций, не приносят дохода, они обладают такой полезной характеристикой, как ликвидность, или способность быть обменянными в любой момент времени на любые другие активы без ценовых потерь, по номиналу. В экономической теории есть понятие «предпочтение ликвидности», которое было введено английским экономистом Дж. М. Кейн сом в книге «Общая теория занятости, процента и денег». Он объ ясняет, почему люди, несмотря на неспособность денег как актива 40 ФИНАНСОВАЯ ГРАМОТНОСТЬ ТАБЛИЦА 1.1 Отличительные характеристики цифровых денег ИСТОЧНИК: БАНК РОССИИ. ЦИФРОВОЙ РУБЛь. ДОКЛАД ДЛЯ ОБЩЕСТВЕННЫХ КОНСУЛьТАЦИЙ. ОКТЯБРь 2020 Г. приносить своему владельцу доход, тем не менее держат часть своих средств непосредственно в денежной форме. Согласно Кейнсу, спрос на деньги обусловлен тремя мотивами. Это: • транзакционный мотив: людям нужен запас денег для со вершения сделок, поскольку новые денежные доходы по ступают к ним неравномерно; • мотив предосторожности: необходимо поддерживать ре зерв ликвидных средств на случай непредвиденных об стоятельств или неожиданных проблем, требующих рас ходов; • спекулятивный мотив: люди могут держать наличность, чтобы воспользоваться неожиданно возникающими на рынке возможностями (например, купить те или иные активы после значительного снижения их цен). ГЛАВА 1. ЭКОНОМИЧЕСКИЕ ЯВЛЕНИЯ И ПРОЦЕССЫ ОБЩЕСТВЕННОЙ ЖИЗНИ. ДЕНьГИ. ИНФЛЯЦИЯ"
1. Экономические явления и процессы общественной жизни. Деньги. Инфляция;1.3. ИНФЛЯЦИЯ И ДЕФЛЯЦИЯ;1.3.1. ПОКУПАТЕЛЬНАЯ СПОСОБНОСТЬ ДЕНЕГ;И ЕЕ ИЗМЕНЕНИЯ. УРОВЕНЬ ЦЕН, ЕГО ИЗМЕРЕНИЕ Инфляция, измеряемая как рост цен фиксированной корзины то варов и услуг за некоторые промежутки времени, — один из клю чевых экономических параметров. Он отражает изменение покупательной способности денег: при возросших ценах той же суммы хватит на меньший объем покупок. Иными словами, хотя номи 44 ФИНАНСОВАЯ ГРАМОТНОСТЬ нально денежные суммы вроде бы остаются теми же самыми, их реальное наполнение в форме товаров и услуг в результате инфля ционных процессов постоянно сокращается. Поэтому имеет смысл оперировать как номинальными (наблюдаемыми), так и реальными показателями, которые корректируются с учетом уровня инфляции (обесценения денег). Так, для определения темпа изменения реальных доходов насе ления необходимо номинальный показатель роста доходов разде лить на индекс потребительских цен (ИПЦ) за соответствующий период. При любом положительном значении инфляции реальный прирост благосостояния окажется ниже, чем увеличение номи нальных доходов, а при недостаточно быстром его росте возмож но даже абсолютное сокращение реальных доходов населения (как это было в России в 2014–2018 гг.). Таким образом, инфляция может «съедать» прирост доходов и приводить к обнищанию населения, особенно самых бедных его слоев. Главный для домашних хозяйств индикатор — ИПЦ рассчиты вается по условной корзине, включающей несколько сотен раз нообразных позиций: от цены килограмма хлеба или колбасы до стоимости годового обслуживания международной банковской карты и расходов на туристические поездки в зарубежные страны. Статистические органы обычно публикуют различные показате ли инфляции в экономике данной страны — в недельном, месяч ном и годовом интервале, по отношению к декабрю предыдущего года и в целом за истекший календарный год. Ведется также регу лярный мониторинг ценовых изменений в региональном разрезе, в различных населенных пунктах, а также в отношении различных групп товаров и услуг, в частности набора продуктов питания, цен на рынке жилья и цен производителей. Обычным потребителям часто кажется, что публикуемые ин дексы инфляции не соответствуют действительности и прирост цен на самом деле гораздо больше. Измеренные значения инфля ции, очевидно, представляют собой средние величины и не мо гут быть точными в отношении каждого из нас хотя бы уже в силу того, что структуры потребительских корзин домашних хозяйств или отдельно взятых людей заметно различаются в зависимости от их места проживания, социального статуса, уровня доходов, по требительских привычек и склонностей и пр. Кроме того, цены на различные товары и услуги растут неравномерно во времени, как неравномерно и наше потребление. Таким образом, хотя у каждого из нас есть своя «индивидуальная инфляция», общие ценовые тен денции описываются показателями ИПЦ достаточно объективно. ГЛАВА 1. ЭКОНОМИЧЕСКИЕ ЯВЛЕНИЯ И ПРОЦЕССЫ ОБЩЕСТВЕННОЙ ЖИЗНИ. ДЕНьГИ. ИНФЛЯЦИЯ
1. Экономические явления и процессы общественной жизни. Деньги. Инфляция;1.3. ИНФЛЯЦИЯ И ДЕФЛЯЦИЯ;1.3.2. ПРИЧИНЫ ИНФЛЯЦИИ.;"Уровень цен на рынках товаров и услуг определяется в результа те взаимодействия спроса покупателей и предложения продавцов. Чем больше количество денег в экономике, тем выше будут цены при прочих равных условиях (неизменные количество товаров и скорость обращения денег). Поэтому, регулируя предложение де нег, центральные банки воздействуют на уровень инфляции. Хотя в целом в российской экономике действует свободное ры ночное ценообразование, существуют также цены, регулируемые го сударством на федеральном или региональном уровне. Это прежде всего тарифы «естественных монополий» — цены на электроэнергию, газ, услуги железнодорожного транспорта и т. п. В частности, поэто му инфляция в России характеризуется четко выраженной сезонно 46 ФИНАНСОВАЯ ГРАМОТНОСТЬ стью: как правило, в периоды индексаций регулируемых тарифов (в начале каждого полугодия — в январе и июле) наблюдаются скачки ИПЦ, в состав которого входят эти тарифы. Кроме изменений регулируемых тарифов, на динамику цен ока зывают влияние самые разные факторы: • соотношение спроса и предложения в экономике (так, спад спроса в результате эпидемии коронавируса привел к временному снижению темпов роста цен); • политика государства (в частности, изменение уровня ключевой ставки1 и применение других инст рументов Банком России); • изменение обменного курса национальной валюты (как правило, ослабление курса приводит к повышению ин фляции, главным образом за счет удорожания импорта); • монопольные факторы (чем выше уровень конкуренции, тем медленнее при прочих равных условиях растут цены); • процессы, связанные с сезонностью сельскохозяйственно го производства (так, во второй половине лета, в момент поступления на рынок нового урожая и традиционного удешевления овощей и фруктов, темпы роста цен в рос сийской экономике замедляются до нуля или даже отри цательных значений, т. е. общий уровень цен снижается); • особенности государственного регулирования экономи ки (например, санкционные меры, объявленные Россией, в частности запрет импорта сельскохозяйственной про дукции из ряда стран, привели к дополнительному ин фляционному всплеску в 2014–2015 гг.) и др. Еще одним важным фактором изменения цен являются инфляционные ожидания экономических агентов (домохозяйств и компа ний). Если большинство из них ожидает, что цены в предстоящий период вырастут на определенную величину (допустим, на 10%), то они будут корректировать свое экономическое поведение исходя из этого параметра (например, устанавливая надбавку к цене на про даваемые ими блага (товары и услуги), меняя свои требования к зара ботной плате и представления о том, что дешево, а что дорого). Если население в массе своей предпринимает подобные действия, то тем самым подталкивает цены вверх до ожидаемых отметок. 1 Ключевая ставка — в настоящее время главный инструмент денежно-кредитной политики Банка России, это минимальная процентная ставка, под которую Банк России готов кредитовать коммерческие банки, и максимальная ставка, под которую он может принимать у них депозиты. ГЛАВА 1. ЭКОНОМИЧЕСКИЕ ЯВЛЕНИЯ И ПРОЦЕССЫ ОБЩЕСТВЕННОЙ ЖИЗНИ. ДЕНьГИ. ИНФЛЯЦИЯ"
1. Экономические явления и процессы общественной жизни. Деньги. Инфляция;1.3. ИНФЛЯЦИЯ И ДЕФЛЯЦИЯ;1.3.3. ИЗДЕРЖКИ ИНФЛЯЦИИ.;Инфляция, даже если она не достигает сверхвысоких значений, как при гиперинфляции, приносит обществу дополнительные из держки. Представим себе, что инфляция полностью предсказуема. Но и в таких условиях рост цен фактически облагает людей своего рода «инфляционным налогом», поскольку представляет собой непо средственный вычет из их потребления. «Инфляционный налог» является регрессивным: бедные люди, как правило, теряют в ре зультате роста цен более высокую долю своего дохода, чем богатые. При этом, даже если потери от «инфляционного налога» полностью или частично компенсируются за счет социальных индексаций и бесплатных государственных услуг, поведение людей под воздей 48 ФИНАНСОВАЯ ГРАМОТНОСТЬ ствием инфляции может изменяться, что приведет к неоптималь ному распределению ресурсов. Например, чтобы спасти деньги от инфляционного обесценения, люди будут держать меньше наличности и меньше средств на те кущих счетах, чем нужно, и поэтому больше вероятность, что они могут столкнуться с непредвиденными сложностями, не имея при этом необходимых средств. Кроме того, существуют так называе мые «издержки меню», связанные с необходимостью пересмотра своих цен всеми продавцами: это издержки постоянного монито ринга ценовой динамики используемых ресурсов и аналогичных товаров и услуг, а также периодического обновления ценников. Полбеды, если инфляция стабильна и предсказуема. Но ее не возможно всегда точно прогнозировать. Более того, чем инфля ция выше, тем больше ее колебания и, следовательно, непредска зуемость. А последствия неожиданной инфляции могут быть еще более неприятными. Так, если она оказывается выше ожидаемой, выигрывают заёмщики и получатели доходов, индексируемых по фактическим темпам инфляции. В проигрыше оказываются кре диторы и получатели фиксированных доходов. Первые в качестве защитной меры от более высоких темпов роста цен будут завышать процентную ставку или просто отказываться от предоставления денег взаймы — следовательно, доступных финансовых ресурсов будет меньше, и они будут намного дороже, чем при низкой инфля ции. Вторые (это, как правило, наиболее бедные слои населения и получатели социальных пособий, которые если и индексируются, то обычно с опозданием и неполно) изза инфляции становятся еще беднее, что усугубляет общественное неравенство. В силу наличия указанных издержек потребители вырабатыва ют свою собственную антиинфляционную политику. У домашних хозяйств она направлена главным образом на защиту от будуще го воздействия роста цен, тогда как правительство и центральный банк обычно стремятся снизить общий уровень инфляции, в пер вую очередь ее непредсказуемую составляющую. Что может сделать для защиты от высокой инфляции обыч ный потребитель? Прежде всего, ограничить свободные денеж ные остатки (наличность) минимально необходимым их уровнем. Формирование сбережений — главный путь борьбы с инфляцией. Правда, сбережения далеко не всегда могут ее «победить», т. е. при вести к повышению реального благосостояния домашних хозяйств (в терминах наполнения потребительской корзины). Процентная ставка по сбережениям (их доходность) может оказаться ниже тем пов роста цен, однако даже в таком случае лучше компенсировать ГЛАВА 1. ЭКОНОМИЧЕСКИЕ ЯВЛЕНИЯ И ПРОЦЕССЫ ОБЩЕСТВЕННОЙ ЖИЗНИ. ДЕНьГИ. ИНФЛЯЦИЯ
1. Экономические явления и процессы общественной жизни. Деньги. Инфляция;1.3. ИНФЛЯЦИЯ И ДЕФЛЯЦИЯ;1.3.4. ТАРГЕТИРОВАНИЕ ИНФЛЯЦИИ;"Поскольку высокая инфляция создает проблемы для всего обще ства, главная нагрузка в борьбе с ней ложится, разумеется, на госу дарство. Согласно Конституции Российской Федерации (ч. 2 ст. 75), защита и обеспечение устойчивости рубля — основная функция Центрального банка Российской Федерации, которую он осущест вляет независимо от других органов государственной власти. Се годня эта функция понимается в первую очередь как защита реаль ной покупательной способности российской национальной валюты, осуществляемая путем борьбы с инфляцией. В конце 2014 г. Банк России отказался от воздействия на курс рубля, который с этого времени определяется на основе соотноше ния спроса и предложения, и в своей политике перешел к режиму таргетирования инфляции (устойчивое закрепление темпов роста потребительских цен вблизи объявленного целевого значения, или таргета) (рис. 1.8). Иными словами, с этого времени ЦБ РФ деклари 50 ФИНАНСОВАЯ ГРАМОТНОСТЬ РИСУНОК 1.8 Таргетирование инфляции рует главную цель — обеспечение стабильно низкой инфляции как «важной составляющей благоприятной деловой среды для бизне са и комфортных условий для жизни граждан»1. Таргет инфляции установлен на уровне 4 % в год; после первоначального снижения инфляции целью денежнокредитной политики Банка России стало закрепление темпов роста потребительских цен вблизи этой отмет ки в годовом выражении на постоянной основе. На это сегодня направлены все действия Банка России, прежде всего изменение ключевой ставки. Для устойчивого снижения ин фляции недостаточно уменьшить ее текущие темпы — необходимо переломить и стабилизировать на более низком уровне инфляци онные ожидания, укрепив в обществе доверие к действиям ЦБ РФ."
